Title:,"Average Precipitation Rate monthly 0.25 deg. [TRMM TRMM_3B43 v7] mm/month for 2000-Jan - 2018-Jan, Shape Brazil, Region 76.6406W, 37.9687S, 34.4531W, 12.6563N"
User Start Date:,2000-01-01T00:00:00Z
User End Date:,2018-12-31T23:59:59Z
User Bounding Box:,"-76.6406,-37.9687,-34.4531,12.6563"
Data Bounding Box:,"-74.125,-33.875,-34.625,5.375"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=InTs&starttime=2000-01-01T00%3A00%3A00Z&endtime=2018-12-31T23%3A59%3A59Z&months=01%2C02%2C03%2C04%2C05%2C06%2C07%2C08%2C09%2C10%2C11%2C12&shape=state_dept_countries%2Fshp_32&bbox=-76.6406%2C-37.9687%2C-34.4531%2C12.6563&data=TRMM_3B43_7_precipitation%28units%3Dmm%2Fmonth%29&dataKeyword=precipitation&portal=GIOVANNI&format=json"
Fill Value:,-9999.9
Units:,mm/month
Variable Name:,TRMM_3B43_7_precipitation












TIME,MONTH_01,MONTH_02,MONTH_03,MONTH_04,MONTH_05,MONTH_06,MONTH_07,MONTH_08,MONTH_09,MONTH_10,MONTH_11,MONTH_12
2000,257.41534,258.09683,267.4852,205.46204,138.55476,85.14195,88.809525,67.39112,115.75463,112.482895,177.58954,215.34695
2001,245.66457,195.82822,226.7167,173.57559,131.93558,101.02756,69.81688,44.582157,81.854294,126.35742,158.9385,225.46654
2002,271.3305,228.02393,200.6275,182.6308,154.98088,88.25758,62.14447,58.2873,79.70286,107.56203,136.53949,227.26857
2003,229.0551,218.5721,260.2955,182.99463,139.98694,90.4385,58.48867,61.925617,74.11339,109.66536,140.99977,158.78914
2004,292.32782,274.80264,251.79851,174.44518,131.69232,83.303635,77.857635,57.623997,61.54947,131.68521,143.46707,174.04027
2005,228.76419,214.67111,279.9697,179.67476,153.24422,71.167564,53.70316,48.739254,75.00957,118.54901,152.37888,270.0857
2006,210.65437,228.53958,278.7537,226.34985,148.34157,80.20534,65.78166,48.67527,75.84039,142.25172,182.56383,206.69447
2007,224.02959,257.2066,203.75972,185.56947,131.29553,70.6814,72.6444,50.952206,53.28557,113.1287,157.89758,196.02788
2008,284.65997,245.61365,277.58694,201.99022,153.11513,81.64165,55.725956,52.79734,73.27703,115.64325,167.38864,244.0128
2009,248.43866,247.77177,259.926,238.86928,178.44249,107.80655,71.99539,66.876274,86.27824,152.7786,149.75436,245.19514
2010,242.76878,191.53357,204.55977,202.12099,123.70654,75.94425,68.35684,41.274776,59.79059,122.67821,167.35562,224.15538
2011,276.10394,255.4398,291.41837,215.5996,147.95932,74.85327,67.54229,53.70295,60.709473,156.89572,167.14465,186.84888
2012,265.77103,228.48248,217.33664,160.4781,122.314865,88.963356,67.3092,40.013042,68.89229,91.962524,170.0314,183.69878
2013,243.3364,220.67404,253.24754,190.1686,137.0699,102.0451,77.50585,63.36086,80.15466,122.90159,192.67233,214.82422
2014,202.45206,232.97507,264.4185,191.2248,145.57875,88.71073,68.370224,51.957603,75.61368,120.27943,176.50398,190.90767
2015,182.30296,213.56856,249.09328,179.90068,150.14977,81.43055,80.70419,40.107777,57.976498,84.54421,127.572266,144.86484
2016,270.90207,167.19553,233.12741,146.46748,108.31543,76.28555,53.453873,53.418137,71.291,123.17495,150.01772,215.80731
2017,240.73752,250.83752,241.53755,185.76843,130.9785,71.01727,47.393543,50.421535,61.10031,108.56834,164.70363,223.51317
2018,211.61574,251.98964,219.74284,206.28328,122.94557,67.62376,58.89619,67.28836,83.40842,136.56984,193.91722,215.09956
